rowID;ifile;kL;kF;mtype;mtypeString;fractionOfResistantNodes;aggoutput;obj;wiener_index_f;wiener_index_v;SL;SF;propagation_length_min_f;propagation_length_mean_f;propagation_length_max_f;propagation_length_min_v;propagation_length_mean_v;propagation_length_max_v;SFv;SLv
86;msg-college.im;0;15;2;T;0;0;145.15051;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
87;msg-college.im;0;15;2;T;0;0;145.15051;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
88;msg-college.im;0;15;2;T;0;0;144.85205;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 372, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 372, 400, 713, 1113];Int64[]
89;msg-college.im;0;15;3;O;0;1;134.23713;0.645848148148148;2.13616539807732;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0.68201333333339;2.3557;0.9964;1.93818666666665;4.2262;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
90;msg-college.im;0;15;3;O;0;0;134.23713;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
91;msg-college.im;0;15;3;O;0;0;133.73655;0;0;Int64[];[3, 9, 12, 19, 32, 42, 67, 103, 105, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 19, 32, 42, 67, 103, 105, 249, 289, 357, 400, 713, 1113];Int64[]
92;msg-college.im;0;15;3;O;0;0;133.44065;0;0;Int64[];[3, 9, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113, 1283];0;0;0;0;0;0;[3, 9, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113, 1283];Int64[]
93;msg-college.im;0;15;3;O;0;0;134.23713;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
94;msg-college.im;0;15;3;O;0;0;134.23713;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
95;msg-college.im;0;15;3;O;0;0;134.23713;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
96;msg-college.im;0;15;3;O;0;0;134.23713;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
97;msg-college.im;0;15;3;O;0;0;134.23713;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
98;msg-college.im;0;15;3;O;0;0;134.23713;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
99;msg-college.im;0;15;3;O;0;0;132.96319;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 372, 400, 713, 1113, 1283];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 372, 400, 713, 1113, 1283];Int64[]
100;msg-college.im;0;15;5;R25;0.25;1;8.08276255411255;0.682528571428571;2.10432440547011;Int64[];[3, 9, 19, 32, 42, 67, 103, 105, 176, 249, 289, 400, 523, 713, 1113];0;0.697846666666732;2.3532;0.9816;1.85573333333332;4.103;[3, 9, 19, 32, 42, 67, 103, 105, 176, 249, 289, 400, 523, 713, 1113];Int64[]
101;msg-college.im;0;15;5;R25;0.25;0;8.04484267850174;0;0;Int64[];[3, 9, 19, 32, 42, 67, 103, 105, 249, 289, 400, 523, 704, 713, 1543];0;0;0;0;0;0;[3, 9, 19, 32, 42, 67, 103, 105, 249, 289, 400, 523, 704, 713, 1543];Int64[]
102;msg-college.im;0;15;5;R25;0.25;0;8.02457641661698;0;0;Int64[];[3, 9, 19, 32, 42, 67, 103, 105, 144, 249, 289, 400, 523, 713, 1113];0;0;0;0;0;0;[3, 9, 19, 32, 42, 67, 103, 105, 144, 249, 289, 400, 523, 713, 1113];Int64[]
103;msg-college.im;0;15;5;R25;0.25;0;8.02224069786757;0;0;Int64[];[3, 9, 19, 32, 42, 103, 105, 194, 249, 289, 400, 523, 704, 713, 1598];0;0;0;0;0;0;[3, 9, 19, 32, 42, 103, 105, 194, 249, 289, 400, 523, 704, 713, 1598];Int64[]
